batch,seq_len,num_kv_heads,num_q_heads,head_dim,cache_mb,topk,init_blocks,local_blocks,latency_ms,p50_ms,timestamp
1,1024,1,8,128,1.0,32,1,2,0.3298,0.4025,2026-07-08T16:21:31.310372
2,2048,1,8,128,4.0,32,1,2,0.3269,0.4012,2026-07-08T16:21:34.523615
4,4096,1,8,128,16.0,32,1,2,0.3341,0.4039,2026-07-08T16:21:42.591530
8,8192,1,8,128,64.0,32,1,2,0.3277,0.401,2026-07-08T16:21:52.773699
1,32768,1,8,128,32.0,32,1,2,0.3369,0.4089,2026-07-08T16:21:55.027455
1,65536,1,8,128,64.0,32,1,2,0.3389,0.4087,2026-07-08T16:21:56.783301
32,1024,1,8,128,32.0,32,1,2,0.3375,0.4036,2026-07-08T16:22:06.935743
128,1024,1,8,128,128.0,32,1,2,0.3401,0.4094,2026-07-08T16:22:16.626510
1,1024,1,8,128,1.0,32,1,2,0.3259,0.3958,2026-07-08T16:33:17.717900
2,2048,1,8,128,4.0,32,1,2,0.3344,0.3951,2026-07-08T16:33:18.982401
4,4096,1,8,128,16.0,32,1,2,0.3221,0.3946,2026-07-08T16:33:20.228096
8,8192,1,8,128,64.0,32,1,2,0.3267,0.3989,2026-07-08T16:33:21.476525
1,32768,1,8,128,32.0,32,1,2,0.3242,0.3946,2026-07-08T16:33:21.782757
1,65536,1,8,128,64.0,32,1,2,0.3274,0.3983,2026-07-08T16:33:22.096739
32,1024,1,8,128,32.0,32,1,2,0.337,0.4019,2026-07-08T16:33:23.578688
128,1024,1,8,128,128.0,32,1,2,0.3333,0.406,2026-07-08T16:33:25.005138
1,1024,1,8,128,1.0,32,1,2,0.3273,0.3969,2026-07-08T18:12:08.089037
2,2048,1,8,128,4.0,32,1,2,0.3273,0.3964,2026-07-08T18:12:09.348517
4,4096,1,8,128,16.0,32,1,2,0.3215,0.3948,2026-07-08T18:12:10.600120
8,8192,1,8,128,64.0,32,1,2,0.3227,0.3919,2026-07-08T18:12:11.832946
1,32768,1,8,128,32.0,32,1,2,0.3237,0.3927,2026-07-08T18:12:12.142986
1,65536,1,8,128,64.0,32,1,2,0.3244,0.3962,2026-07-08T18:12:12.450004
32,1024,1,8,128,32.0,32,1,2,0.329,0.3979,2026-07-08T18:12:13.686538
128,1024,1,8,128,128.0,32,1,2,0.3329,0.4021,2026-07-08T18:12:14.957645
1,1024,1,8,128,1.0,32,1,2,0.3216,0.3961,2026-07-08T18:31:45.181744
2,2048,1,8,128,4.0,32,1,2,0.319,0.3897,2026-07-08T18:31:46.431708
4,4096,1,8,128,16.0,32,1,2,0.3214,0.3932,2026-07-08T18:31:47.669934
8,8192,1,8,128,64.0,32,1,2,0.3188,0.3961,2026-07-08T18:31:48.910683
1,32768,1,8,128,32.0,32,1,2,0.3206,0.3927,2026-07-08T18:31:49.229367
1,65536,1,8,128,64.0,32,1,2,0.3251,0.4008,2026-07-08T18:31:49.546758
32,1024,1,8,128,32.0,32,1,2,0.3282,0.3997,2026-07-08T18:31:50.799281
128,1024,1,8,128,128.0,32,1,2,0.3318,0.4026,2026-07-08T18:31:52.052192
